AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0.08333333333333333,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.5,0.3333333333333333,0.5,0.3333333333333333,0.25,0.08333333333333333,0,0.5833333333333334,0.4166666666666667,0.25,0.25,0.25,0.25,0.16666666666666666,0.25,0.6666666666666666,0.25,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,0.5,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.25,0.25,0.5,0.3333333333333333,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.5,0.16666666666666666,0.5,0.25,0.3333333333333333,0.3333333333333333
0.5833333333333334,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.25,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.5833333333333334,0,0.25,0.5,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.5,0.4166666666666667,1,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.5,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.9166666666666666,0.75,0.25,0.75,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.75,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.5,0.3333333333333333,0.25,0.8333333333333334,0.5833333333333334,0.25,0.5833333333333334,0.5,0.3333333333333333
0.4166666666666667,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.5,0.5,0.4166666666666667,0.25,0,0.3333333333333333,0.4166666666666667,0.25,0.25,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.6666666666666666,0.4166666666666667,0.25,0.4166666666666667,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.75,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25,0.08333333333333333,0.5,0.5833333333333334,0.75,0.5,0.16666666666666666,0.3333333333333333,0.25,0.08333333333333333,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333
0.25,0.5,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.25,0.4166666666666667,0.3333333333333333,0.25,0.3333333333333333,0.25,0.5,0.3333333333333333,0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.5833333333333334,0.25,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.25,0.16666666666666666,0.4166666666666667,0.5,0.3333333333333333,0.25,0.3333333333333333,0.25,0.25,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,0.4166666666666667,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.25
0.25,0.5833333333333334,0.4166666666666667,0.25,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.25,0.5833333333333334,0.4166666666666667,0.08333333333333333,0,0.16666666666666666,0.25,0.08333333333333333,0.3333333333333333,0.5,0.25,0.3333333333333333,0.08333333333333333,0.25,0.25,0.16666666666666666,0.3333333333333333,0.25,0.5,0.4166666666666667,0.25,0.3333333333333333,0.25,0.25,0.3333333333333333,0.08333333333333333,0.25,0.5,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333
0.25,0.4166666666666667,0.25,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.25,0.08333333333333333,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0.25,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.25,0.4166666666666667,0.25,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.25,0.5,0.25,0.3333333333333333,0.25,0.08333333333333333,0.16666666666666666
0.25,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25,0.16666666666666666,0.25,0.16666666666666666,0,0.16666666666666666,0.25,0.6666666666666666,0.3333333333333333,0.5,0.25,0.25,0.25,0.08333333333333333,0.25,0.08333333333333333,0.25,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25,0.25,0.25,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.25,0.3333333333333333,0.25,0.25,0.16666666666666666
0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.25,0.3333333333333333,0.25,0.16666666666666666,0.25,0.16666666666666666,0.5,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0,0.25,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.25,0.25,0.25,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.25,0.25,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.25
0.16666666666666666,0.5,0.25,0.08333333333333333,0.3333333333333333,0.25,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.25,0.25,0.4166666666666667,0.3333333333333333,0.25,0.3333333333333333,0.25,0.25,0.25,0,0.75,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.25,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.5,0.25,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.5833333333333334,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.6666666666666666,1,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.75,0.25,0.4166666666666667,0.5,0.75,0.6666666666666666,1,0.8333333333333334,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.5,0.75,0,0.4166666666666667,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.75,0.25,0.5833333333333334,0.75,0.4166666666666667,0.6666666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.25,0.6666666666666666,0.75,0.5833333333333334,0.75,0.8333333333333334,0.16666666666666666,0.5,0.9166666666666666,0.4166666666666667,0.5833333333333334,0.75
0.25,0.6666666666666666,0.5,0.25,0.5833333333333334,0.4166666666666667,0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.25,0.6666666666666666,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667,0,0.25,0.25,0.4166666666666667,0.25,0.25,0.5,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.25,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.5,0.25,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.4166666666666667
0.5,0.8333333333333334,0.6666666666666666,0.5,0.75,0.5833333333333334,0.08333333333333333,0.25,0.3333333333333333,0.5833333333333334,0.5,0.8333333333333334,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5833333333333334,0.16666666666666666,0.25,0,0.3333333333333333,0.5,0.5,0.4166666666666667,0.6666666666666666,0.5,0.75,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.25,0.5,0.75,0.16666666666666666,0.6666666666666666,0.08333333333333333,0.5,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.75,0.25,0.4166666666666667,0.5833333333333334
0.3333333333333333,0.5833333333333334,0.4166666666666667,0.25,0.5,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.5,0.25,0.3333333333333333,0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.5,0.4166666666666667,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,0.08333333333333333,0.25,0.5,0.16666666666666666,0.5,0.4166666666666667,0.4166666666666667,0.25,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.25,0.5,0.16666666666666666,0.08333333333333333,0.3333333333333333
0.3333333333333333,0.4166666666666667,0.3333333333333333,0.25,0.4166666666666667,0.25,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.25,0.16666666666666666,0.25,0.08333333333333333,0.25,0.25,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.5,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.25,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666
0.08333333333333333,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.25,0.5,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.5,0.4166666666666667,0.25,0.25,0.25,0.25,0.16666666666666666,0.08333333333333333,0.6666666666666666,0.25,0.5,0.3333333333333333,0.3333333333333333,0,0.16666666666666666,0.4166666666666667,0.25,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.25,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.5,0.3333333333333333,0.25,0.5833333333333334,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5,0.25,0.3333333333333333,0.3333333333333333
0.16666666666666666,0.4166666666666667,0.25,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.25,0.25,0.16666666666666666,0.4166666666666667,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.25,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.25,0.08333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.5,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
0.4166666666666667,0.25,0.25,0.3333333333333333,0.25,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.5,0.5,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.4166666666666667,0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.25,0,0.16666666666666666,0.16666666666666666,0.75,0.5833333333333334,0.25,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.25,0.16666666666666666,0.5,0.5833333333333334,0.75,0.5,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25,0.08333333333333333
0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.6666666666666666,0.3333333333333333,0.5,0.25,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0,0.25,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.5,0.25,0.25,0.25,0.16666666666666666,0.08333333333333333
0.5,0.25,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.75,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.5,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.9166666666666666,0.5833333333333334,0.75,0.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.25,0,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.25,0.5,0.25,0.08333333333333333,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.25,0.4166666666666667,0.25,0.08333333333333333,0.75,0.5,0.16666666666666666,0.5,0.4166666666666667,0.16666666666666666
0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.9166666666666666,0.75,0.5,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5,0.75,0.5833333333333334,0.8333333333333334,0,0.25,0.6666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.25,0.75,0.16666666666666666,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,0.75,0.08333333333333333,0.4166666666666667,0.8333333333333334,0.3333333333333333,0.5,0.6666666666666666
0.4166666666666667,0.75,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.5,0.16666666666666666,0.08333333333333333,0.25,0.5,0.4166666666666667,0.75,0.5833333333333334,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.25,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.25,0,0.5,0.08333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.4166666666666667,0.6666666666666666,0.08333333333333333,0.5833333333333334,0.25,0.4166666666666667,0.5,0.3333333333333333,0.5,0.5833333333333334,0.16666666666666666,0.25,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5
0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,0.16666666666666666,0.25,0.3333333333333333,0.25,0.16666666666666666,0.25,0.16666666666666666,0.75,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.5,0.6666666666666666,0.4166666666666667,0.25,0.25,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666
0.4166666666666667,0.75,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.5,0.08333333333333333,0.16666666666666666,0.25,0.5,0.4166666666666667,0.75,0.5833333333333334,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.25,0.5,0.25,0.16666666666666666,0.08333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.16666666666666666,0.08333333333333333,0.5,0,0.3333333333333333,0.5,0.16666666666666666,0.4166666666666667,0.6666666666666666,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.5,0.3333333333333333,0.5,0.5833333333333334,0.08333333333333333,0.25,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5
0.16666666666666666,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.5,0.3333333333333333,0.4166666666666667,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5833333333333334,0.4166666666666667,0.25,0.25,0.25,0.25,0.16666666666666666,0.25,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.4166666666666667,0.25,0.25,0.5,0.25,0.25,0.5,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333
0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.5833333333333334,0.5,0.5,0.5,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.4166666666666667,0.75,0.5,0.5833333333333334,0.25,0.08333333333333333,0.4166666666666667,0.25,0.08333333333333333,0.16666666666666666,0.25,0.6666666666666666,0.5,0.3333333333333333,0.5,0.4166666666666667,0,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.25,0.5833333333333334,0.4166666666666667,0.25,0.4166666666666667,0.16666666666666666,0.16666666666666666
0.25,0.5833333333333334,0.4166666666666667,0.25,0.5,0.3333333333333333,0.25,0.16666666666666666,0.25,0.3333333333333333,0.25,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.25,0.25,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.25,0.25,0.16666666666666666,0.4166666666666667,0.25,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0,0.25,0.5,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.25,0.16666666666666666,0.5,0.08333333333333333,0.16666666666666666,0.3333333333333333
